BOOKING_ID,TOURIST_ID,DESTINATION,BOOKING_DATE,COST,DURATION
101,1,"London, UK",01/05/2023,1000,7
102,2,"Phuket, Thailand",01/06/2023,1100,5
103,3,"Bali, Indonesia",01/07/2023,1200,7
104,4,"New York, USA",01/08/2023,1300,14
105,5,"Tokyo, Japan",01/09/2023,1400,7
106,6,"Paris, France",01/10/2023,1500,5
107,7,"Sydney, Australia",01/11/2023,100,1
108,8,"Paris, France",01/10/2023,750,3
109,9,"Sydney, Australia",01/11/2023,200,2
110,10,"Sydney, Australia",01/11/2023,400,4
111,1,"New York, USA",02/08/2023,350,2
112,2,"Sydney, Australia",01/11/2023,800,6
113,3,"Tokyo, Japan",02/09/2023,1300,6
114,4,"Paris, France",01/10/2023,325,2
115,5,"Bali, Indonesia",02/07/2023,1500,8
116,6,"Paris, France",01/10/2023,1050,4
117,7,"London, UK",02/05/2023,750,5
118,8,"New York, USA",03/08/2023,1400,15
119,9,"Tokyo, Japan",03/09/2023,1500,8
120,10,"Sydney, Australia",01/11/2023,1000,8
121,1,"Sydney, Australia",01/11/2023,1200,10
122,2,"Paris, France",01/10/2023,1200,5
123,3,"Tokyo, Japan",04/09/2023,700,3
124,4,"New York, USA",04/08/2023,600,6
125,5,"Sydney, Australia",01/11/2023,900,9
126,6,"Bali, Indonesia",03/07/2023,850,6
127,7,"Paris, France",01/10/2023,1600,6
128,8,"Tokyo, Japan",05/09/2023,350,2
129,9,"Phuket, Thailand",02/06/2023,800,2
130,10,"New York, USA",05/08/2023,1010,8
131,14,"Honolulu, Hawaii",01/17/2023,350,2
132,15,"Dubai, United Arab Emirates",01/18/2023,800,2
133,16,"Cancun, Mexico",01/09/2023,1010,8
